# percent_low percent_high x_cut_low x_cut_high
0 1 155.00153594477584 400
1 2 142.52490778357136 155.00153594477584
2 3 134.42281498703844 142.52490778357136
3 4 128.19986285087373 134.42281498703844
4 5 123.03987363527457 128.19986285087373
5 6 118.56835466976675 123.03987363527457
6 7 114.58092587911247 118.56835466976675
7 8 110.95336239915207 114.58092587911247
8 9 107.60438652091065 110.95336239915207
9 10 104.47790051696282 107.60438652091065
10 11 101.53359281771438 104.47790051696282
11 12 98.741575885636976 101.53359281771438
12 13 96.07913616301353 98.741575885636976
13 14 93.528666031323326 96.07913616301353
14 15 91.076293838391322 93.528666031323326
15 16 88.710944776141289 91.076293838391322
16 17 86.423677869047893 88.710944776141289
17 18 84.207205849000133 86.423677869047893
18 19 82.055539461222153 84.207205849000133
19 20 79.96371889730915 82.055539461222153
20 21 77.927607449783693 79.96371889730915
21 22 75.943730720054646 77.927607449783693
22 23 74.009149823848773 75.943730720054646
23 24 72.121360375097737 74.009149823848773
24 25 70.278211475221283 72.121360375097737
25 26 68.477840322835249 70.278211475221283
26 27 66.718619252472976 68.477840322835249
27 28 64.999112747655971 66.718619252472976
28 29 63.318042533623931 64.999112747655971
29 30 61.674259230387705 63.318042533623931
30 31 60.066719291952488 61.674259230387705
31 32 58.494466379687296 60.066719291952488
32 33 56.956616284487218 58.494466379687296
33 34 55.452344717306758 56.956616284487218
34 35 53.980877510182381 55.452344717306758
35 36 52.541482667073772 53.980877510182381
36 37 51.133464016933097 52.541482667073772
37 38 49.756156031428993 51.133464016933097
38 39 48.408919679708532 49.756156031428993
39 40 47.091138970042344 48.408919679708532
40 41 45.802218187057711 47.091138970042344
41 42 44.541579541921401 45.802218187057711
42 43 43.308661148682134 44.541579541921401
43 44 42.102915326240513 43.308661148682134
44 45 40.923807056196814 42.102915326240513
45 46 39.770812626931381 40.923807056196814
46 47 38.643418283070694 39.770812626931381
47 48 37.541119077155244 38.643418283070694
48 49 36.463417653398388 37.541119077155244
49 50 35.409823132539728 36.463417653398388
50 51 34.37985000021272 35.409823132539728
51 52 33.373016996905037 34.37985000021272
52 53 32.388846024384044 33.373016996905037
53 54 31.426861137261941 32.388846024384044
54 55 30.486587479331526 31.426861137261941
55 56 29.567550307463225 30.486587479331526
56 57 28.669274042952679 29.567550307463225
57 58 27.791281364024741 28.669274042952679
58 59 26.933092397878976 27.791281364024741
59 60 26.094223933343059 26.933092397878976
60 61 25.274188773766429 26.094223933343059
61 62 24.472495083715977 25.274188773766429
62 63 23.688645863298813 24.472495083715977
63 64 22.922138500749575 23.688645863298813
64 65 22.172464407938964 22.922138500749575
65 66 21.439108599805397 22.172464407938964
66 67 20.721549445562317 21.439108599805397
67 68 20.019258388213828 20.721549445562317
68 69 19.331699586623774 20.019258388213828
69 70 18.65832964277665 19.331699586623774
70 71 17.998597127142872 18.65832964277665
71 72 17.351942045750405 17.998597127142872
72 73 16.717795202588146 17.351942045750405
73 74 16.095577180013688 16.717795202588146
74 75 15.484697184714642 16.095577180013688
75 76 14.884551455882098 15.484697184714642
76 77 14.294521243139554 14.884551455882098
77 78 13.713970168522664 14.294521243139554
78 79 13.142240943805584 13.713970168522664
79 80 12.578651054257266 13.142240943805584
80 81 12.022487398315468 12.578651054257266
81 82 11.472999406844981 12.022487398315468
82 83 10.929390169629581 11.472999406844981
83 84 10.390805073290432 10.929390169629581
84 85 9.8563169337519341 10.390805073290432
85 86 9.3249064700340458 9.8563169337519341
86 87 8.7954361410785786 9.3249064700340458
87 88 8.2666146302878261 8.7954361410785786
88 89 7.7369474868471997 8.2666146302878261
89 90 7.2046669345632877 7.7369474868471997
90 91 6.6676290539137204 7.2046669345632877
91 92 6.1231578408769014 6.6676290539137204
92 93 5.5677985548846332 6.1231578408769014
93 94 4.9969062425427548 5.5677985548846332
94 95 4.4039127467394383 4.9969062425427548
95 96 3.7788995067937501 4.4039127467394383
96 97 3.1054614014512221 3.7788995067937501
97 98 2.352427265521265 3.1054614014512221
98 99 1.4438293942662856 2.352427265521265
99 100 0 1.4438293942662856
