# percent_low percent_high x_cut_low x_cut_high
0 5 123.03987363527457 400
5 10 104.47790051696282 123.03987363527457
10 15 91.076293838391322 104.47790051696282
15 20 79.96371889730915 91.076293838391322
20 25 70.278211475221283 79.96371889730915
25 30 61.674259230387705 70.278211475221283
30 35 53.980877510182381 61.674259230387705
35 40 47.091138970042344 53.980877510182381
40 45 40.923807056196814 47.091138970042344
45 50 35.409823132539728 40.923807056196814
50 55 30.486587479331526 35.409823132539728
55 60 26.094223933343059 30.486587479331526
60 65 22.172464407938964 26.094223933343059
65 70 18.65832964277665 22.172464407938964
70 75 15.484697184714642 18.65832964277665
75 80 12.578651054257266 15.484697184714642
80 85 9.8563169337519341 12.578651054257266
85 90 7.2046669345632877 9.8563169337519341
90 95 4.4039127467394383 7.2046669345632877
95 100 0 4.4039127467394383
