# percent_low percent_high x_cut_low x_cut_high
0 1 107.38534570242925 400
1 2 98.299890281476905 107.38534570242925
2 3 92.442499539629381 98.299890281476905
3 4 87.96961196191144 92.442499539629381
4 5 84.279488105092085 87.96961196191144
5 6 81.096382674930297 84.279488105092085
6 7 78.269927127730767 81.096382674930297
7 8 75.708758417944708 78.269927127730767
8 9 73.353093681466348 75.708758417944708
9 10 71.161645794079831 73.353093681466348
10 11 69.104710851099739 71.161645794079831
11 12 67.160225696641746 69.104710851099739
12 13 65.311380694942898 67.160225696641746
13 14 63.545102388566853 65.311380694942898
14 15 61.851049914678903 63.545102388566853
15 16 60.220928268875106 61.851049914678903
16 17 58.648004598271612 60.220928268875106
17 18 57.126758845757728 58.648004598271612
18 19 55.652625580270609 57.126758845757728
19 20 54.221799728902596 55.652625580270609
20 21 52.831087599074117 54.221799728902596
21 22 51.47779094098734 52.831087599074117
22 23 50.15961566359907 51.47779094098734
23 24 48.874598903254807 50.15961566359907
24 25 47.621050410314787 48.874598903254807
25 26 46.397504951584658 47.621050410314787
26 27 45.202683477898489 46.397504951584658
27 28 44.035461235807816 45.202683477898489
28 29 42.894841573029943 44.035461235807816
29 30 41.779934279354912 42.894841573029943
30 31 40.689937776929519 41.779934279354912
31 32 39.624124301731825 40.689937776929519
32 33 38.581827738450208 39.624124301731825
33 34 37.562433542467346 38.581827738450208
34 35 36.565370402671334 37.562433542467346
35 36 35.590103372007754 36.565370402671334
36 37 34.636128214710723 35.590103372007754
37 38 33.702966664202059 34.636128214710723
38 39 32.790162517312872 33.702966664202059
39 40 31.897278479217785 32.790162517312872
40 41 31.023893327869317 31.897278479217785
41 42 30.169599765699228 31.023893327869317
42 43 29.33400236140394 30.169599765699228
43 44 28.516716019246747 29.33400236140394
44 45 27.7173644145015 28.516716019246747
45 46 26.935578854537038 27.7173644145015
46 47 26.170997125808949 26.935578854537038
47 48 25.42326248183161 26.170997125808949
48 49 24.692022782473124 25.42326248183161
49 50 23.976929726995554 24.692022782473124
50 51 23.277637980146658 23.976929726995554
51 52 22.593804665410076 23.277637980146658
52 53 21.925088670462429 22.593804665410076
53 54 21.27115006735249 21.925088670462429
54 55 20.631649681699155 21.27115006735249
55 56 20.006248625664139 20.631649681699155
56 57 19.394607893175635 20.006248625664139
57 58 18.796387996567766 19.394607893175635
58 59 18.211248744036801 18.796387996567766
59 60 17.638848912627683 18.211248744036801
60 61 17.078846098418662 17.638848912627683
61 62 16.530896524185337 17.078846098418662
62 63 15.99465489895597 16.530896524185337
63 64 15.469774301009309 15.99465489895597
64 65 14.955906092496575 15.469774301009309
65 66 14.452699799079495 14.955906092496575
66 67 13.959802932522358 14.452699799079495
67 68 13.476861010740715 13.959802932522358
68 69 13.003517187653935 13.476861010740715
69 70 12.539412181601319 13.003517187653935
70 71 12.084183851456523 12.539412181601319
71 72 11.637466886454115 12.084183851456523
72 73 11.198892167522503 11.637466886454115
73 74 10.768086152477716 11.198892167522503
74 75 10.344670068411588 10.768086152477716
75 76 9.9282586419763579 10.344670068411588
76 77 9.5184589249421183 9.9282586419763579
77 78 9.1148684360613288 9.5184589249421183
78 79 8.7170730794785047 9.1148684360613288
79 80 8.3246444728280089 8.7170730794785047
80 81 7.9371366021274179 8.3246444728280089
81 82 7.5540816007610143 7.9371366021274179
82 83 7.174984522738483 7.5540816007610143
83 84 6.7993164642177577 7.174984522738483
84 85 6.4265059875598487 6.7993164642177577
85 86 6.0559277290188103 6.4265059875598487
86 87 5.6868874450420739 6.0559277290188103
87 88 5.3186018314651093 5.6868874450420739
88 89 4.9501709233605364 5.3186018314651093
89 90 4.5805392397819666 4.9501709233605364
90 91 4.2084397749760152 4.5805392397819666
91 92 3.8323104053565231 4.2084397749760152
92 93 3.4501642826154519 3.8323104053565231
93 94 3.0593788439086738 3.4501642826154519
94 95 2.6563311857420437 3.0593788439086738
95 96 2.2357157237623939 2.6563311857420437
96 97 1.7891249578738662 2.2357157237623939
97 98 1.3016022637790552 1.7891249578738662
98 99 0.74087095300133943 1.3016022637790552
99 100 0 0.74087095300133943
