 -0.2561217E+01  0.2162027E+01  0.4696626E-01 -0.1528641E+01 -0.7198229E+00  0.9945602E+00 -0.5170396E+00 -0.1061739E+01 -0.1411069E+01  0.1490614E+01 -0.9317092E+00  0.7155102E+00  0.9908565E+00  0.1177257E+01 -0.2675811E+00 -0.2358623E+01 -0.5009769E+00  0.4054306E-01  0.1175252E+01  0.2349718E+00  0.5910924E+00  0.1546901E+01 -0.1323742E+01  0.2622774E+01 -0.4271513E+00 -0.1936125E+00 -0.1316998E+01  0.2092475E+01  0.2566240E+01  0.9626428E+00  0.7636660E+00 -0.6388817E+00 -0.1497912E+01  0.1287191E+01  0.1178086E+01  0.1991285E+01 -0.4264810E+00  0.3009834E+00 -0.1517327E+01  0.5372935E-02  0.2276337E+01 -0.1379250E+01 -0.1559556E+01 -0.1747691E+01 -0.4853911E-01  0.2637986E-01 -0.2777726E+01 -0.5266981E+00
 -0.2317812E+01  0.1551658E+01 -0.1724237E+00 -0.6159267E+00  0.6293482E+00 -0.3962120E+00 -0.7079956E+00  0.5796521E+00  0.1198972E+01 -0.1398615E+01  0.3038840E+01 -0.1991780E+01 -0.3978798E+00 -0.1559363E+01  0.2491692E+00  0.1739830E+01  0.1061124E+01  0.3731696E+00  0.2544778E+00 -0.4610243E+00  0.3542424E+00 -0.4533067E+00 -0.2159962E+01  0.4666797E+00 -0.6074987E+00 -0.1580700E+01  0.9281830E+00  0.1450440E+01 -0.1374237E+01  0.2043519E+00  0.3203409E+01  0.1897141E+01 -0.1222067E+01  0.3526122E+00  0.5915101E-01 -0.5715706E+00 -0.2338228E+00 -0.1156604E+01  0.3738646E+01 -0.6091959E-01 -0.1625900E+01 -0.3311999E+01 -0.2696247E+01  0.1511014E+01 -0.9035974E+00  0.2489255E+01 -0.4101384E+00  0.1056236E+01
 -0.2408316E+01 -0.7918893E-01 -0.1236986E+01  0.6160616E+00 -0.1266062E+01  0.1772319E+01 -0.8778282E+00 -0.3245766E+01 -0.2797099E+01  0.1514826E+01  0.2836925E+01  0.4722013E+00 -0.1508811E+01  0.5468774E+00 -0.6030888E+00  0.1991556E+01 -0.7100116E+00 -0.1181581E+01 -0.1416558E+01  0.5234675E+00 -0.1362074E+01 -0.1353514E+01  0.4446165E+00  0.2688389E+01 -0.3647549E+00 -0.8003263E+00  0.1815323E+01 -0.1056661E+01  0.2149377E+01  0.8226699E+00 -0.7818276E+00 -0.1428045E+01 -0.1361708E+01  0.3214797E+01 -0.6509594E+00  0.9095992E+00  0.1773929E+01 -0.5298516E+00  0.8792608E+00 -0.7419654E+00  0.1906906E+01 -0.3526726E+00  0.2115299E+01  0.3418900E+00  0.1355999E+01 -0.7162329E+00 -0.3984935E-01 -0.1820552E+01
 -0.2671768E+01  0.1266785E+01  0.5447596E-01 -0.1905992E+01  0.1839794E+01 -0.5918762E+00  0.1302596E+01  0.1605340E+00 -0.4570338E+00  0.1470327E+00 -0.3221247E+01  0.1137500E+01 -0.3379363E+01  0.2318464E+01 -0.2620318E+00  0.3724402E+00  0.1145758E+01  0.2119326E+01  0.5305301E+00 -0.2235175E+01  0.1273716E+00 -0.1512924E+01  0.1231966E+01 -0.1869330E-01 -0.8329252E+00 -0.1244162E+01  0.1161974E+01  0.1934897E+01 -0.4109803E+00  0.8132789E+00  0.5177624E+01 -0.2595854E+00  0.6811984E+00 -0.8950432E+00  0.7084026E+00  0.2029814E+01  0.4108319E+00 -0.1413192E+01 -0.2433700E+01 -0.1018576E+01 -0.9771060E+00 -0.1759415E+01 -0.2457781E+00 -0.2078759E+01 -0.2208512E+01  0.2586417E+01  0.3168503E+01 -0.3936757E+00
  0.8921488E+00  0.6124196E-01  0.4653230E+00 -0.6268009E+00 -0.1311935E+01 -0.1003226E+01  0.1266895E+01 -0.1080268E+00 -0.2254876E+01  0.2434264E+00 -0.2834369E+00  0.2553241E+01 -0.6440193E+00 -0.2042229E+01  0.2896285E+00  0.6409598E+00  0.8353199E+00  0.1877445E+01 -0.3418534E+00  0.3364221E+01 -0.4266327E+00 -0.1466140E+01  0.1387335E+01 -0.1606194E+01 -0.4826693E-01  0.4929488E+00  0.2400931E+01 -0.4757904E+00 -0.1899689E+00 -0.2014457E+01  0.6434765E-01 -0.2781182E+01 -0.1112439E+01 -0.9377090E+00  0.1961691E+01 -0.7467688E+00 -0.9970580E+00 -0.7231775E+00  0.1766453E+01  0.7199372E+00 -0.1640964E+01 -0.3936919E+00  0.7722396E+00 -0.8479705E+00  0.9449989E+00  0.9376830E+00  0.1826132E+01 -0.7397372E+00
  0.1238698E+01 -0.7786875E+00  0.1805789E+00 -0.2431142E+01 -0.9914675E+00 -0.7616546E+00 -0.2296048E+01 -0.7331600E+00  0.3812524E-01  0.1077336E+01 -0.1208819E+01 -0.1238868E+01 -0.6523050E+00  0.2927756E+00  0.1800139E+01 -0.3003537E+01 -0.7353571E-01 -0.1382678E+01 -0.8122926E+00  0.1108279E+01  0.2273631E+01  0.1776355E+01 -0.1603138E+01  0.4279396E+00  0.3657067E+01 -0.7041523E+00 -0.2321333E+01  0.7199564E+00  0.3498138E+01 -0.5040770E+00 -0.1159316E+01  0.1356059E+01 -0.3267873E+01 -0.1909527E+01 -0.2440194E+00  0.3027037E+00  0.7311357E+00 -0.8679915E+00 -0.6814084E+00  0.1615341E+01  0.1143894E+01  0.4442783E+01  0.1115784E+01 -0.1917722E+01 -0.7977213E+00  0.3324938E+00  0.1723548E+01  0.1489713E+01
 -0.2468795E+01  0.5894125E+00  0.1651245E+01 -0.1186139E+01 -0.1088936E+01 -0.2008257E+01  0.6917457E-01  0.1124548E-01 -0.1799067E+00  0.2124207E+01  0.1419230E+01 -0.1630554E+00 -0.9917766E-01 -0.3107785E+00  0.1343943E+01  0.1353843E+00  0.2557803E+01 -0.2255563E+01 -0.5774021E-01 -0.8498954E+00 -0.1478390E+01  0.1108710E+01  0.1079193E+01 -0.6447085E-01  0.3773388E+01 -0.2402496E+01  0.2491886E+01 -0.4647898E+00 -0.1032277E+01 -0.3701939E+01  0.6884609E+00  0.2037142E+01 -0.5426300E+00 -0.3425768E+00  0.1406974E+01 -0.5886373E-01 -0.2210024E+01 -0.7168528E+00  0.8012524E+00  0.2677429E-01 -0.2518508E+01  0.8559978E+00  0.6573722E-01  0.1533292E+01  0.1389083E+01 -0.1162594E+01 -0.1714549E+01  0.1919669E+01
 -0.8647873E+00 -0.1767194E+01  0.2202776E+01 -0.6177154E+00 -0.1657878E+00 -0.6342509E+00  0.1048557E+01  0.7794084E-01  0.3096782E+00 -0.1086851E+01  0.1387291E+01  0.2221677E+01  0.2051087E+01 -0.2951575E+00 -0.1308623E+01  0.8019373E+00  0.5484872E+00 -0.7621150E+00 -0.1437991E+01 -0.9497799E+00  0.2830993E+00  0.1058944E+01  0.1241152E+00 -0.1541112E+01  0.6724973E+00  0.2423041E+01 -0.1551287E+01 -0.1070770E+01  0.4331401E+00  0.6363170E-01  0.6173920E-01 -0.7298853E+00 -0.2162722E+01 -0.7249076E+00 -0.2053885E+01  0.6805545E+00 -0.1263055E+01 -0.3874879E-01  0.5918984E+00  0.2512554E+01 -0.1624194E+01  0.2017466E+01 -0.4889919E+00  0.2488082E+01 -0.2688432E+01 -0.6522456E+00  0.1425349E+00  0.2277762E+01
  0.1084635E+01  0.3310913E+01 -0.2572493E+00 -0.5178991E+00  0.1402812E+01  0.1532898E+01  0.6348320E-01  0.1661862E+00 -0.1898201E+01 -0.5095935E+00 -0.1839450E+01  0.8377672E+00  0.6195257E+00  0.1329022E+01 -0.3130969E+01  0.1967155E+01  0.2234382E+01  0.9491393E+00  0.5002911E+00 -0.9763244E+00 -0.1635247E+01 -0.1138346E+01 -0.4818208E+00 -0.2147381E+01 -0.3416292E+01  0.4566848E+00  0.2363657E+00 -0.6949875E+00 -0.1819015E+01  0.6858705E+00 -0.3990262E+00  0.2633887E-01  0.2488177E+01 -0.9770527E+00 -0.2002557E+01  0.2284394E+01 -0.6913578E+00 -0.1184856E+01  0.1334908E+01  0.1181190E+01  0.1210099E+01 -0.2282551E+01  0.9979365E+00 -0.1371630E+01  0.1061982E+01  0.1930338E+01 -0.4607850E+00 -0.5990515E-01
 -0.5636087E+00  0.8202491E+00 -0.3847281E+01 -0.2088986E+01 -0.1565196E+01  0.1982259E+01 -0.6203339E+00 -0.2047717E+00  0.1755669E+01  0.1500729E+01  0.4942948E+00 -0.9097659E+00 -0.1833686E+00 -0.2070084E+01  0.1671062E+00  0.2534125E+01 -0.1826800E+01 -0.2405531E+00  0.7778380E+00 -0.3636676E+00  0.2086493E+01 -0.1404620E+01  0.2422448E+01  0.6539563E+00 -0.1289849E+01  0.1301619E+01 -0.3258606E+01 -0.1794048E+01 -0.1985993E+01  0.8112893E+00 -0.4982936E+00  0.8375153E+00 -0.6700969E+00  0.1610674E+00 -0.1201356E+01 -0.1122669E+01  0.1550927E+01 -0.4492717E+00  0.9212636E-01  0.2212612E+01  0.2398877E+01  0.6674337E+00  0.4304224E+00  0.1624711E+01  0.3145922E+00 -0.7246128E+00 -0.2325742E+00  0.1518047E+01
